2,2_2.bpl,3,0,0,3.13
1,1_171.bpl,0,3,0,2.21
1,1_151.bpl,0,3,0,2.21
2,2_144.bpl,3,0,0,2.54
1,1_55.bpl,0,3,0,2.34
1,1_167.bpl,0,3,0,2.97
2,2_126.bpl,3,0,0,2.55
1,1_61.bpl,1,2,0,2.54
2,2_73.bpl,3,0,0,2.47
1,1_158.bpl,0,3,0,3.07
1,1_162.bpl,0,3,0,2.6
1,1_133.bpl,1,2,0,2.37
4,4_154.bpl,0,0,3,2.36
1,1_149.bpl,1,2,0,2.54
2,2_67.bpl,2,0,1,2.25
1,1_159.bpl,0,3,0,3.83
3,3_15.bpl,0,0,3,3.24
1,1_115.bpl,2,1,0,2.29
3,3_68.bpl,0,0,3,2.8
1,1_150.bpl,1,2,0,2.76
1,1_164.bpl,0,3,0,3.0
1,1_83.bpl,1,2,0,2.74
1,1_30.bpl,0,3,0,2.83
1,1_148.bpl,0,3,0,2.66
1,1_36.bpl,3,0,0,3.1
2,2_72.bpl,2,0,1,2.48
1,1_166.bpl,0,3,0,3.33
1,1_52.bpl,3,0,0,2.71
2,2_156.bpl,2,0,1,2.95
1,1_1.bpl,1,2,0,2.46
1,1_168.bpl,0,3,0,3.92
1,1_163.bpl,0,3,0,3.49
1,1_152.bpl,0,3,0,3.31
1,1_57.bpl,3,0,0,2.49
1,1_132.bpl,1,2,0,2.66
3,3_2.bpl,0,0,3,3.18
1,1_153.bpl,0,3,0,2.64
1,1_165.bpl,2,1,0,2.93
1,1_160.bpl,0,3,0,2.26
1,1_58.bpl,2,1,0,2.41
2,2_66.bpl,3,0,0,3.38
1,1_29.bpl,0,3,0,2.82
1,1_127.bpl,0,3,0,2.72
1,1_161.bpl,0,3,0,2.88
2,2_51.bpl,2,0,1,2.61
2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,3,0,0,3.25
1,1_LeikeHeizmann-TACAS2014-Ex9.bpl,2,1,0,2.95
1,1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,0,3,0,2.62
1,1_PastaA8_false-no-overflow_true-termination.bpl,3,0,0,2.72
1,1_LeikeHeizmann-TACAS2014-Ex1.bpl,2,1,0,2.41
1,1_Copenhagen.bpl,0,3,0,2.93
3,3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,0,0,3,2.81
1,1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,3,0,0,2.37
1,1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,0,3,0,2.62
1,1_b.03_assume_false-no-overflow.bpl,2,1,0,2.43
1,1_PastaC7.bpl,1,2,0,2.37
2,2_2Nested-2.bpl,2,0,1,2.47
1,1_a.09_assume.bpl,2,1,0,2.67
2,2_ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,2,0,1,2.36
1,1_b.04.bpl,0,3,0,2.77
2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,3,0,0,2.57
2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,3,0,0,2.75
2,2_LeikeHeizmann-TACAS2014-Fig1.bpl,3,0,0,2.69
1,1_PastaB6.bpl,3,0,0,2.44
1,1_Waldkirch.bpl,3,0,0,2.28
1,1_PastaA6_false-no-overflow_true-termination.bpl,3,0,0,2.43
1,1_PastaA4.bpl,3,0,0,2.73
1,1_WhileDecr.bpl,3,0,0,2.56
1,1_PastaA5_false-no-overflow_true-termination.bpl,3,0,0,2.33
1,1_PastaB2.bpl,1,2,0,2.75
1,1_PastaC7_false-no-overflow.bpl,0,3,0,2.35
1,1_PastaB4.bpl,1,2,0,2.53
1,1_a.09_assume_false-no-overflow.bpl,3,0,0,2.45
1,1_b.03_assume.bpl,3,0,0,2.88
1,1_GulavaniGulwani-CAV2008-Fig1c.bpl,3,0,0,2.22
1,1_PastaB11_false-no-overflow_true-termination.bpl,3,0,0,2.27
1,1_PastaB1.bpl,3,0,0,2.31
2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,2,0,1,3.0
2,2_ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,3,0,0,2.18
